aX,aY,aZ,gX,gY,gZ
0.793,-0.594,0.147,-12.939,11.658,29.236
0.844,-0.559,0.153,-13.733,11.902,32.776
0.893,-0.533,0.161,-13.611,11.292,33.752
0.941,-0.506,0.161,-12.390,10.071,32.166
0.989,-0.487,0.133,-8.667,8.911,28.870
1.007,-0.462,0.104,-3.174,8.423,24.597
1.020,-0.433,0.082,0.183,8.118,20.508
1.027,-0.412,0.063,1.160,8.728,17.212
1.006,-0.401,0.046,1.526,10.376,13.794
1.000,-0.405,0.039,-0.610,11.414,11.047
0.988,-0.404,0.036,-3.784,11.108,10.193
0.977,-0.404,0.035,-4.822,10.681,8.545
0.960,-0.410,0.027,-4.822,9.216,5.859
0.933,-0.425,0.021,-4.395,7.080,2.686
0.913,-0.440,0.018,-3.357,4.700,-0.061
0.896,-0.447,0.018,-2.319,2.380,-1.221
0.880,-0.453,0.021,-2.686,0.793,-1.282
0.870,-0.457,0.027,-3.967,0.916,-0.977
0.871,-0.458,0.032,-5.737,1.404,0.122
0.875,-0.459,0.036,-7.324,1.892,1.831
0.872,-0.462,0.038,-8.423,2.747,2.869
0.861,-0.471,0.041,-8.606,3.784,2.563
0.847,-0.483,0.044,-8.179,3.967,1.831
0.834,-0.489,0.048,-7.019,3.662,1.343
0.828,-0.489,0.057,-6.165,2.930,1.099
0.825,-0.485,0.069,-5.737,1.709,1.221
0.826,-0.481,0.083,-5.798,1.038,1.709
0.827,-0.485,0.094,-5.798,0.366,1.587
0.828,-0.494,0.107,-5.859,-0.061,0.793
0.820,-0.502,0.117,-5.249,0.000,0.488
0.815,-0.514,0.130,-4.578,0.549,0.610
0.810,-0.523,0.139,-4.395,1.587,1.465
0.811,-0.530,0.146,-4.456,3.357,3.113
0.813,-0.528,0.149,-4.456,5.005,5.310
-1.793,0.777,0.806,-27.893,-15.747,-78.796
-2.080,0.812,0.907,-36.560,-15.076,-63.354
-2.213,0.870,0.921,-39.001,-14.282,-41.748
-2.229,0.927,0.834,-27.100,-14.282,-22.217
-2.194,0.962,0.688,-3.235,-15.808,-12.207
-2.111,0.997,0.474,17.395,-26.306,-8.423
-1.899,0.961,0.295,25.452,-46.875,-4.639
-1.596,0.835,0.136,29.236,-69.397,-1.038
-1.277,0.699,-0.082,32.288,-87.646,5.005
-0.724,0.534,-0.143,42.419,-109.497,5.981
-0.151,0.344,-0.190,48.523,-141.479,2.136
0.377,0.179,-0.150,46.387,-172.302,-5.066
0.926,-0.135,-0.164,41.992,-213.623,-20.752
