aX,aY,aZ,gX,gY,gZ
0.124,-0.616,0.629,18.005,-18.311,12.512
0.166,-0.609,0.667,18.311,-20.874,12.390
0.216,-0.607,0.686,16.724,-21.362,11.902
0.254,-0.615,0.691,14.893,-19.897,12.085
0.278,-0.624,0.701,13.977,-16.602,12.390
0.292,-0.626,0.705,12.878,-10.986,12.695
0.291,-0.630,0.710,11.536,-5.066,13.306
0.287,-0.636,0.717,10.559,-0.183,14.099
0.299,-0.640,0.729,9.399,4.639,15.442
0.314,-0.635,0.733,9.583,4.333,15.747
0.332,-0.628,0.748,10.132,2.502,15.503
0.353,-0.629,0.753,9.949,1.038,15.137
0.377,-0.635,0.756,9.644,0.305,15.137
0.399,-0.645,0.760,10.071,0.122,15.198
0.418,-0.651,0.760,11.719,0.610,15.137
0.429,-0.659,0.760,13.245,1.526,14.282
0.432,-0.666,0.753,14.587,2.869,12.207
0.430,-0.673,0.754,16.357,4.395,9.399
0.425,-0.674,0.756,18.250,6.042,7.324
0.414,-0.671,0.762,19.653,7.812,5.371
0.396,-0.672,0.775,20.386,9.766,3.845
0.377,-0.685,0.785,20.752,12.573,4.028
0.363,-0.704,0.788,21.118,15.930,6.409
0.353,-0.720,0.795,21.667,19.897,9.277
0.348,-0.734,0.800,22.339,23.865,11.414
0.348,-0.741,0.806,23.437,27.588,12.756
0.352,-0.747,0.815,25.452,30.457,13.794
0.363,-0.748,0.823,28.381,32.288,14.038
0.382,-0.746,0.825,31.189,33.508,13.062
0.399,-0.752,0.830,33.630,34.241,11.780
0.420,-0.768,0.838,36.865,35.461,10.803
0.436,-0.781,0.853,40.894,37.659,10.254
0.465,-0.797,0.865,45.776,41.870,8.972
0.492,-0.820,0.865,51.575,46.997,6.897
0.466,-0.823,0.875,58.105,51.453,6.165
0.447,-0.821,0.845,63.782,54.626,6.409
0.447,-0.802,0.837,68.359,58.105,5.310
0.452,-0.786,0.812,69.763,60.120,5.737
0.453,-0.784,0.767,67.627,59.814,7.080
0.481,-0.799,0.720,64.819,57.800,8.057
0.512,-0.810,0.698,63.232,55.908,9.216
0.553,-0.823,0.688,62.500,55.847,11.108
0.591,-0.849,0.671,61.768,58.960,13.123
0.616,-0.873,0.660,62.195,64.148,14.648
0.628,-0.886,0.645,64.514,70.313,14.709
0.650,-0.898,0.631,67.749,77.026,13.611
0.613,-0.906,0.618,70.740,83.252,13.000
0.587,-0.912,0.580,73.730,87.341,12.390
0.592,-0.901,0.561,76.843,90.698,11.108
0.603,-0.891,0.527,78.674,91.980,10.864
0.611,-0.886,0.485,77.820,90.332,11.963
0.625,-0.888,0.451,75.806,86.731,12.695
0.637,-0.901,0.417,73.242,84.045,13.062
0.643,-0.922,0.393,70.557,83.130,13.000
0.629,-0.938,0.375,68.970,83.313,12.756
0.601,-0.961,0.342,69.153,83.862,13.123
0.595,-0.969,0.338,71.289,86.487,13.000
0.602,-0.966,0.323,73.303,89.600,14.221
0.603,-0.964,0.302,74.341,91.858,15.930
0.612,-0.950,0.274,75.623,92.773,16.541
0.624,-0.928,0.247,76.599,92.834,16.907
0.599,-0.921,0.203,76.294,91.064,17.029
0.600,-0.911,0.169,75.562,88.806,14.832
-2.092,-0.054,0.620,-155.396,-128.235,147.339
-2.003,-0.064,0.796,-143.616,-146.118,175.720
-1.901,-0.026,0.948,-128.967,-173.279,195.312
-1.795,-0.028,1.080,-114.685,-207.764,205.566
-1.675,-0.039,1.172,-99.731,-242.554,211.426
-1.552,-0.067,1.234,-86.792,-268.860,218.445
-1.451,-0.085,1.306,-81.726,-286.255,226.868
-1.386,-0.128,1.354,-84.045,-294.861,235.413
-1.260,-0.159,1.412,-86.243,-294.922,246.338
-1.050,-0.125,1.572,-85.083,-287.170,267.273
-0.673,-0.071,1.806,-87.341,-267.944,302.063
-0.126,-0.014,2.106,-96.252,-234.802,343.994
0.515,-0.034,2.406,-108.643,-187.622,384.583
1.750,-0.070,2.729,-117.432,-131.653,416.931
1.306,-0.508,2.985,-107.544,-134.094,435.547
1.211,-0.329,2.399,-69.275,-137.939,388.489
1.589,-0.044,2.076,-14.099,-54.321,322.998
2.267,-0.140,2.400,36.926,24.963,294.983
2.416,0.029,2.272,52.368,-7.568,281.616
2.495,0.092,2.032,54.443,-60.059,266.663
2.653,0.068,1.994,58.777,-89.355,248.474
2.635,0.099,1.870,71.167,-115.601,212.280
2.542,0.153,1.725,91.492,-133.301,169.495
2.412,0.177,1.552,107.666,-131.958,138.123
2.287,0.224,1.364,112.427,-115.601,118.896
2.223,0.284,1.232,110.474,-90.942,112.549
2.224,0.321,1.146,99.976,-58.167,120.789
2.286,0.328,1.085,82.031,-17.578,136.047
2.378,0.333,1.051,62.622,25.696,149.963
2.432,0.313,1.004,44.006,67.566,158.630
2.431,0.270,0.928,27.222,99.854,159.241
2.398,0.248,0.874,13.733,117.859,149.963
